,fighter_r,fighter_b,winner,total_wins_r,total_losses_r,total_draws_r,total_nc_r,height_r,weight_r,reach_r,stance_r,dob_r,slpm_r,str_acc_r,sapm_r,str_def_r,td_avg_r,td_acc_r,td_def_r,sub_avg_r,total_wins_b,total_losses_b,total_draws_b,total_nc_b,height_b,weight_b,reach_b,stance_b,dob_b,slpm_b,str_acc_b,sapm_b,str_def_b,td_avg_b,td_acc_b,td_def_b,sub_avg_b
2688,Mark Eddiva,Levan Makashvili,Levan Makashvili,6,3,0,0,"5'8""",145,"68""",Orthodox,2/16/1986,3.37,45%,2.98,54%,1.45,22%,63%,0.0,15,2,1,0,"5'8""",145,"68""",Orthodox,1/07/1989,2.87,54%,2.07,61%,3.67,42%,85%,0.0
2689,Tae Hyun Bang,Jon Tuck,Jon Tuck,18,10,0,0,"5'9""",155,"71""",Switch,4/15/1983,2.72,38%,2.07,66%,0.49,33%,57%,0.5,10,5,0,0,"5'11""",155,"73""",Orthodox,8/28/1984,3.0,40%,3.74,60%,0.42,33%,50%,1.0
2690,Zhang Lipeng,Kajan Johnson,Kajan Johnson,23,9,1,0,"5'11""",155,"71""",Southpaw,3/10/1990,1.28,48%,1.88,53%,1.75,30%,69%,0.8,23,13,1,0,"5'11""",155,"75""",Orthodox,4/21/1984,2.47,42%,1.59,64%,1.54,37%,62%,0.2
2691,Li Jingliang,Dhiego Lima,Li Jingliang,18,6,0,0,"6'0""",170,"71""",Orthodox,3/20/1988,4.52,42%,3.65,59%,1.28,39%,59%,0.0,17,8,0,0,"6'2""",170,"75""",Orthodox,1/31/1989,3.14,38%,3.93,59%,1.38,42%,73%,0.7
2692,Guangyou Ning,Royston Wee,Guangyou Ning,5,4,1,0,"5'4""",145,"64""",Southpaw,12/15/1981,2.66,41%,1.91,61%,1.09,50%,62%,0.3,4,1,0,0,"5'7""",135,"67""",Orthodox,11/15/1986,1.1,60%,2.45,49%,3.38,81%,0%,0.0
2693,Stipe Miocic,Mark Hunt,Stipe Miocic,20,3,0,0,"6'4""",240,"80""",Orthodox,8/19/1982,4.9,52%,3.75,55%,1.92,34%,70%,0.0,13,14,1,1,"5'10""",265,"72""",Orthodox,3/23/1974,2.81,43%,2.9,51%,0.51,55%,64%,0.2
2694,Brad Tavares,Robert Whittaker,Robert Whittaker,18,7,0,0,"6'1""",185,"74""",Orthodox,12/21/1987,3.04,41%,2.73,56%,0.97,27%,79%,0.0,23,5,0,0,"6'0""",185,"73""",Orthodox,12/20/1990,4.52,40%,3.44,60%,0.43,27%,84%,0.0
2695,Anthony Perosh,Sean O'Connell,Sean O'Connell,15,10,0,0,"6'3""",205,"75""",Orthodox,10/05/1972,2.27,43%,3.77,53%,2.03,22%,33%,1.1,17,9,0,0,"6'1""",205,"74""",Orthodox,9/02/1983,5.46,48%,6.77,45%,0.0,0%,30%,0.5
2696,Jake Matthews,James Vick,James Vick,17,5,0,0,"5'11""",170,"73""",Orthodox,8/19/1994,3.03,44%,2.16,61%,1.93,41%,66%,0.6,13,5,0,0,"6'3""",155,"76""",Orthodox,2/23/1987,4.13,39%,3.31,60%,0.26,33%,57%,0.7
2697,Hatsu Hioki,Dan Hooker,Dan Hooker,29,10,2,0,"5'11""",145,"73""",Orthodox,7/18/1983,2.42,42%,2.12,65%,2.55,56%,54%,0.6,20,10,0,0,"6'0""",155,"75""",Switch,2/13/1990,4.95,48%,4.92,51%,0.72,34%,79%,0.3
