,fighter_r,fighter_b,winner,total_wins_r,total_losses_r,total_draws_r,total_nc_r,height_r,weight_r,reach_r,stance_r,dob_r,slpm_r,str_acc_r,sapm_r,str_def_r,td_avg_r,td_acc_r,td_def_r,sub_avg_r,total_wins_b,total_losses_b,total_draws_b,total_nc_b,height_b,weight_b,reach_b,stance_b,dob_b,slpm_b,str_acc_b,sapm_b,str_def_b,td_avg_b,td_acc_b,td_def_b,sub_avg_b
4408,Jim Miller,Mac Danzig,Jim Miller,32,15,0,1,"5'8""",155,"71""",Southpaw,8/30/1983,2.73,40%,2.99,59%,1.69,43%,46%,1.9,21,12,1,0,"5'8""",155,"70""",Orthodox,1/02/1980,3.39,48%,3.44,57%,1.2,37%,46%,0.6
4409,Jon Jones,Jake O'Brien,Jon Jones,26,1,0,1,"6'4""",205,"84""",Orthodox,7/19/1987,4.3,57%,2.22,64%,1.85,44%,95%,0.4,15,4,0,0,"6'3""",205,"76""",Orthodox,9/25/1984,1.31,31%,1.92,69%,6.39,54%,25%,0.2
4410,Dong Hyun Kim,TJ Grant,Dong Hyun Kim,22,4,1,1,"6'2""",170,"76""",Southpaw,11/17/1981,2.12,49%,1.89,58%,2.93,43%,71%,0.6,21,5,0,0,"5'10""",155,"72""",Orthodox,2/26/1984,3.95,54%,3.21,56%,1.63,43%,36%,0.6
4411,Tom Lawlor,CB Dollaway,Tom Lawlor,10,6,0,1,"6'0""",205,"74""",Southpaw,5/15/1983,2.5,42%,2.41,60%,2.46,32%,57%,1.4,17,9,0,0,"6'2""",185,"76""",Orthodox,8/10/1983,2.65,47%,2.58,54%,3.55,54%,62%,1.2
4412,Shannon Gugerty,Matt Grice,Shannon Gugerty,15,7,0,0,"5'10""",155,"71""",Orthodox,12/30/1981,1.25,39%,1.88,58%,2.13,27%,50%,3.4,15,5,0,0,"5'8""",145,"70""",Orthodox,7/29/1981,4.09,53%,2.69,56%,2.19,37%,82%,0.5
4413,Diego Sanchez,Clay Guida,Diego Sanchez,31,13,0,0,"5'10""",170,"72""",Southpaw,12/31/1981,2.69,37%,3.02,56%,1.51,24%,46%,0.8,36,17,0,0,"5'7""",155,"70""",Orthodox,12/08/1981,2.44,34%,2.57,63%,3.36,38%,68%,0.7
4414,James Wilks,DaMarques Johnson,James Wilks,7,4,0,0,"6'1""",170,"75""",Orthodox,5/04/1978,1.82,45%,2.03,50%,1.27,22%,66%,3.8,15,15,0,0,"6'1""",170,"75""",Orthodox,6/28/1982,2.11,37%,3.75,51%,1.18,55%,19%,0.7
4415,Chris Lytle,Kevin Burns,Chris Lytle,31,18,5,0,"5'11""",170,"68""",Orthodox,8/18/1974,3.76,45%,3.03,58%,0.7,55%,55%,2.4,12,7,0,0,"5'10""",170,"74""",Orthodox,3/03/1980,2.74,38%,4.3,52%,0.28,50%,47%,0.8
4416,Ross Pearson,Andre Winner,Ross Pearson,20,16,0,1,"5'8""",155,"69""",Orthodox,9/26/1984,3.68,40%,4.09,62%,0.74,35%,75%,0.0,21,11,2,0,"5'11""",155,"73""",Orthodox,11/09/1981,2.52,33%,4.57,51%,0.0,0%,74%,0.0
4417,Joe Stevenson,Nate Diaz,Joe Stevenson,33,16,0,0,"5'7""",145,"70""",Orthodox,6/15/1982,2.05,44%,2.44,60%,2.75,44%,39%,2.2,21,12,0,0,"6'0""",170,"76""",Southpaw,4/16/1985,4.62,45%,3.78,53%,1.19,30%,42%,1.4
4418,Melvin Guillard,Gleison Tibau,Melvin Guillard,32,18,2,3,"5'9""",155,"71""",Orthodox,3/30/1983,2.96,40%,1.85,66%,1.3,63%,61%,0.2,33,14,0,0,"5'10""",155,"71""",Southpaw,10/07/1983,1.95,31%,2.51,63%,4.08,53%,92%,0.8
4419,Brad Blackburn,Edgar Garcia,Brad Blackburn,18,13,1,1,"5'10""",170,"73""",Orthodox,5/25/1977,4.55,35%,3.59,65%,0.93,50%,76%,0.7,14,5,0,0,"5'10""",170,"71""",Orthodox,2/22/1984,3.16,29%,4.23,60%,2.21,57%,50%,0.6
4420,Rich Franklin,Wanderlei Silva,Rich Franklin,29,7,0,1,"6'1""",185,"76""",Southpaw,10/05/1974,4.1,44%,2.07,62%,1.31,66%,63%,0.7,35,13,1,1,"5'11""",205,"74""",Orthodox,7/03/1976,2.79,40%,2.19,60%,0.97,53%,62%,0.6
4421,Cain Velasquez,Cheick Kongo,Cain Velasquez,14,3,0,0,"6'1""",240,"77""",Orthodox,7/28/1982,6.37,57%,2.33,57%,5.13,45%,85%,0.4,27,10,2,0,"6'4""",240,"82""",Orthodox,5/17/1975,3.33,56%,1.28,54%,2.3,56%,52%,0.2
4422,Mirko Filipovic,Mostapha Al-Turk,Mirko Filipovic,35,11,2,1,"6'2""",230,"73""",Southpaw,9/10/1974,2.11,50%,1.89,63%,0.19,40%,78%,0.3,6,6,0,0,"6'2""",245,"77""",Orthodox,7/14/1973,1.36,19%,3.61,53%,0.0,0%,0%,0.0
4423,Mike Swick,Ben Saunders,Mike Swick,15,6,0,0,"6'1""",170,"77""",Orthodox,6/19/1979,2.36,37%,2.29,54%,1.06,50%,61%,0.6,22,13,2,0,"6'2""",170,"77""",Orthodox,4/13/1983,3.23,50%,3.58,51%,0.2,40%,66%,1.3
4424,Spencer Fisher,Caol Uno,Spencer Fisher,24,9,0,0,"5'7""",155,"68""",Southpaw,5/09/1976,3.17,43%,3.03,64%,0.67,30%,60%,0.8,33,19,5,0,"5'7""",155,"70""",Southpaw,5/08/1975,1.91,49%,1.9,50%,1.95,31%,37%,0.5
4425,Dan Hardy,Marcus Davis,Dan Hardy,25,10,0,1,"6'0""",170,"74""",Orthodox,5/17/1982,2.46,35%,3.44,51%,0.73,35%,35%,0.4,22,11,0,1,"5'10""",170,"70""",Southpaw,8/24/1973,2.72,39%,2.79,65%,1.6,48%,47%,1.4
4426,Terry Etim,Justin Buchholz,Terry Etim,16,5,0,0,"6'1""",155,"73""",Orthodox,1/11/1986,2.16,35%,2.53,67%,0.43,30%,39%,1.4,15,10,0,0,"6'0""",155,"73""",Orthodox,8/22/1983,2.35,26%,4.14,51%,0.0,0%,33%,0.8
4427,Dennis Siver,Dale Hartt,Dennis Siver,23,11,0,1,"5'6""",145,"70""",Orthodox,1/13/1979,3.87,32%,2.67,65%,0.87,32%,65%,0.3,6,3,0,0,"5'10""",155,"69""",Orthodox,4/04/1979,1.14,35%,1.55,66%,1.22,100%,25%,2.5
4428,Paul Taylor,Peter Sobotta,Paul Taylor,11,6,1,1,"6'0""",155,"72""",Orthodox,12/15/1979,4.44,47%,4.47,55%,0.27,25%,56%,0.5,17,7,1,0,"6'0""",170,"75""",Southpaw,1/11/1987,2.14,40%,2.9,58%,1.53,32%,77%,0.5
4429,Paul Kelly,Rolando Delgado,Paul Kelly,14,5,0,0,"5'9""",155,"70""",Orthodox,9/12/1984,3.22,37%,2.61,59%,1.34,60%,30%,1.5,11,6,1,0,"6'3""",155,"77""",Orthodox,11/22/1981,1.56,40%,1.83,62%,1.17,22%,0%,3.5
4430,John Hathaway,Rick Story,John Hathaway,17,2,0,0,"6'1""",170,"75""",Orthodox,7/23/1987,3.4,40%,1.8,62%,2.61,43%,60%,0.9,19,9,0,0,"5'9""",170,"71""",Southpaw,8/28/1984,3.8,41%,2.17,62%,2.53,48%,63%,0.9
4431,Lyoto Machida,Rashad Evans,Lyoto Machida,24,8,0,0,"6'1""",185,"74""",Southpaw,5/30/1978,2.59,53%,1.57,61%,1.21,65%,75%,0.4,19,8,1,0,"6'0""",205,"75""",Orthodox,9/25/1979,2.14,37%,2.42,63%,2.98,44%,73%,0.0
4432,Matt Hughes,Matt Serra,Matt Hughes,45,9,0,0,"5'9""",170,"73""",Switch,10/13/1973,2.14,53%,1.36,53%,2.95,50%,35%,1.2,11,7,0,0,"5'6""",170,"68""",Orthodox,6/02/1974,1.98,39%,2.64,46%,2.05,20%,38%,0.9
4433,Chael Sonnen,Dan Miller,Chael Sonnen,29,15,1,0,"6'1""",205,"73""",Southpaw,4/03/1977,3.08,43%,1.1,62%,3.81,59%,66%,0.4,14,8,0,1,"6'1""",185,"74""",Orthodox,6/30/1981,2.03,36%,3.06,49%,1.67,54%,47%,1.8
4434,Frankie Edgar,Sean Sherk,Frankie Edgar,23,9,1,0,"5'6""",135,"68""",Orthodox,10/16/1981,3.7,39%,2.71,66%,2.28,31%,65%,0.3,36,4,1,0,"5'6""",155,"67""",Orthodox,8/05/1973,2.17,35%,2.71,55%,4.09,46%,56%,0.4
4435,Brock Larson,Mike Pyle,Brock Larson,42,10,0,0,"5'11""",170,"71""",Southpaw,8/23/1977,1.39,46%,1.5,55%,2.67,34%,43%,2.0,27,14,1,0,"6'0""",170,"74""",Orthodox,9/18/1975,2.74,45%,2.84,60%,1.8,35%,70%,1.5
4436,Tim Hague,Pat Barry,Tim Hague,21,13,0,0,"6'4""",260,"76""",Orthodox,5/09/1983,2.79,47%,4.14,46%,1.72,33%,85%,0.9,8,7,0,0,"5'11""",235,"74""",Orthodox,7/07/1979,2.72,52%,3.54,59%,0.0,0%,76%,0.2
4437,Kyle Bradley,Phillipe Nover,Kyle Bradley,19,12,0,1,"5'9""",155,"71""",Orthodox,8/19/1982,1.99,40%,3.45,58%,0.65,50%,40%,0.0,11,8,1,0,"5'9""",145,"72""",Orthodox,2/03/1984,1.79,35%,2.48,56%,0.99,28%,44%,0.7
4438,Anderson Silva,Thales Leites,Anderson Silva,34,11,0,1,"6'2""",185,"77""",Southpaw,4/14/1975,3.05,61%,2.05,60%,0.5,77%,69%,0.8,28,9,0,0,"6'1""",185,"78""",Orthodox,9/06/1981,2.13,40%,2.99,52%,2.1,27%,30%,1.1
4439,Sam Stout,Matt Wiman,Sam Stout,20,12,1,0,"5'9""",155,"70""",Orthodox,4/23/1984,4.17,28%,4.08,57%,0.63,38%,77%,0.1,16,10,0,0,"5'10""",155,"68""",Orthodox,9/19/1983,3.17,50%,3.57,51%,2.13,37%,56%,1.5
4440,Mauricio Rua,Chuck Liddell,Mauricio Rua,27,12,1,0,"6'1""",205,"76""",Orthodox,11/25/1981,3.57,50%,2.71,54%,2.12,48%,47%,0.8,21,8,0,0,"6'2""",205,"76""",Orthodox,12/17/1969,2.97,35%,2.71,56%,0.44,75%,81%,0.0
4441,Krzysztof Soszynski,Brian Stann,Krzysztof Soszynski,26,12,1,0,"6'1""",205,"77""",Open,8/02/1977,3.37,39%,3.13,58%,0.52,25%,71%,1.0,12,6,0,0,"6'1""",205,"74""",Orthodox,9/24/1980,3.28,42%,2.65,59%,0.12,12%,60%,0.3
4442,Cheick Kongo,Antoni Hardonk,Cheick Kongo,27,10,2,0,"6'4""",240,"82""",Orthodox,5/17/1975,3.33,56%,1.28,54%,2.3,56%,52%,0.2,8,6,0,0,"6'4""",245,"78""",Orthodox,2/05/1976,3.4,61%,3.07,46%,0.0,0%,40%,0.9
4443,Luiz Cane,Steve Cantwell,Luiz Cane,17,7,0,1,"6'2""",185,"77""",Southpaw,4/24/1981,4.79,41%,5.0,60%,0.56,28%,100%,0.3,7,6,0,0,"6'2""",185,"75""",Orthodox,12/08/1986,3.63,34%,5.76,55%,0.65,30%,80%,0.7
4444,Nate Quarry,Jason MacDonald,Nate Quarry,12,4,0,0,"6'0""",185,"72""",Open,3/18/1972,4.96,44%,2.8,66%,0.25,33%,60%,0.0,25,16,0,0,"6'3""",185,"80""",Orthodox,6/03/1975,1.55,52%,2.7,46%,1.43,16%,35%,2.0
4445,Ed Herman,David Loiseau,Ed Herman,27,14,0,1,"6'1""",205,"77""",Orthodox,10/02/1980,3.32,49%,3.35,43%,2.21,48%,60%,1.2,23,11,0,0,"6'0""",185,"76""",Orthodox,12/17/1979,1.59,44%,3.64,43%,0.43,42%,36%,0.1
4446,Mark Bocek,David Bielkheden,Mark Bocek,12,5,0,0,"5'8""",155,"75""",Orthodox,10/24/1981,2.34,43%,2.32,60%,3.65,36%,31%,1.3,24,12,0,0,"5'10""",155,"71""",Orthodox,6/06/1979,1.11,57%,1.64,54%,2.65,63%,14%,0.0
4447,TJ Grant,Ryo Chonan,TJ Grant,21,5,0,0,"5'10""",155,"72""",Orthodox,2/26/1984,3.95,54%,3.21,56%,1.63,43%,36%,0.6,22,13,0,0,"5'9""",170,"70""",Orthodox,10/08/1976,2.57,43%,2.25,60%,0.61,41%,39%,0.3
4448,Eliot Marshall,Vinny Magalhaes,Eliot Marshall,10,4,0,0,"6'2""",205,"77""",Orthodox,7/07/1980,1.93,27%,2.39,67%,0.47,33%,79%,0.9,14,9,0,1,"6'3""",205,"75""",Orthodox,7/02/1984,2.14,24%,3.97,68%,1.55,44%,66%,0.8
4449,Martin Kampmann,Carlos Condit,Martin Kampmann,20,7,0,0,"6'0""",170,"72""",Orthodox,4/17/1982,3.22,42%,3.28,62%,1.86,41%,78%,2.0,32,13,0,0,"6'2""",170,"75""",Orthodox,4/26/1984,3.63,39%,2.49,56%,0.62,54%,39%,1.0
4450,Ryan Bader,Carmelo Marrero,Ryan Bader,23,5,0,0,"6'2""",205,"74""",Orthodox,6/07/1983,2.82,43%,1.39,71%,3.37,44%,80%,0.4,16,6,0,1,"6'0""",205,"73""",Orthodox,1/26/1981,0.84,34%,2.04,54%,3.21,36%,36%,0.9
4451,Tyson Griffin,Rafael Dos Anjos,Tyson Griffin,16,8,0,0,"5'6""",145,"68""",Orthodox,4/20/1984,3.71,41%,2.3,65%,1.87,46%,59%,0.9,30,13,0,0,"5'8""",155,"70""",Southpaw,10/26/1984,3.49,46%,3.22,61%,1.93,37%,58%,0.6
4452,Gleison Tibau,Jeremy Stephens,Gleison Tibau,33,14,0,0,"5'10""",155,"71""",Southpaw,10/07/1983,1.95,31%,2.51,63%,4.08,53%,92%,0.8,28,18,0,1,"5'9""",145,"71""",Orthodox,5/25/1986,3.18,40%,3.06,58%,1.16,38%,65%,0.4
4453,Tim Credeur,Nick Catone,Tim Credeur,12,4,0,0,"6'3""",185,"75""",Orthodox,7/09/1977,3.59,30%,3.13,57%,0.41,100%,50%,3.3,10,4,0,0,"6'0""",185,"72""",Southpaw,9/01/1981,2.11,44%,2.32,63%,3.71,44%,83%,0.5
4454,Aaron Simpson,Tim McKenzie,Aaron Simpson,12,5,0,0,"6'0""",170,"73""",Orthodox,7/20/1974,3.6,52%,2.53,56%,3.78,34%,83%,0.5,14,9,0,0,"6'0""",185,"74""",Orthodox,7/21/1982,1.37,54%,2.96,44%,0.0,0%,28%,2.1
4455,Quinton Jackson,Keith Jardine,Quinton Jackson,37,12,0,0,"6'1""",205,"73""",Orthodox,6/20/1978,3.25,54%,2.51,55%,1.52,56%,73%,0.1,17,11,2,0,"6'2""",185,"76""",Orthodox,10/31/1975,3.25,36%,2.98,59%,1.18,45%,62%,0.7
4456,Shane Carwin,Gabriel Gonzaga,Shane Carwin,12,2,0,0,"6'2""",265,"80""",Orthodox,1/04/1975,4.38,47%,3.53,53%,1.42,33%,42%,0.0,17,11,0,0,"6'2""",242,"76""",Orthodox,5/18/1979,2.12,45%,2.94,57%,2.8,39%,66%,1.1
4457,Matt Brown,Pete Sell,Matt Brown,24,18,0,0,"6'0""",170,"75""",Orthodox,1/10/1981,3.69,54%,2.67,55%,1.56,44%,63%,1.4,10,7,0,0,"5'11""",170,"75""",Orthodox,8/05/1982,2.6,42%,3.65,51%,0.91,21%,47%,0.9
4458,Matt Hamill,Mark Munoz,Matt Hamill,12,8,0,0,"6'1""",205,"76""",Orthodox,10/05/1976,3.69,42%,3.8,61%,3.0,34%,91%,0.0,14,6,0,0,"6'0""",185,"71""",Orthodox,2/09/1978,3.12,51%,2.26,57%,3.17,29%,57%,0.6
4459,Gray Maynard,Jim Miller,Gray Maynard,13,7,1,1,"5'9""",155,"70""",Orthodox,5/09/1979,1.92,32%,2.64,66%,2.91,47%,81%,0.7,32,15,0,1,"5'8""",155,"71""",Southpaw,8/30/1983,2.73,40%,2.99,59%,1.69,43%,46%,1.9
4460,Kendall Grove,Jason Day,Kendall Grove,23,17,0,1,"6'6""",185,"79""",Orthodox,11/12/1982,2.31,41%,2.4,54%,0.49,45%,56%,1.7,19,12,0,0,"6'0""",185,"72""",Orthodox,5/19/1981,3.61,54%,3.46,47%,1.13,100%,0%,0.0
4461,Jason Brilz,Tim Boetsch,Jason Brilz,22,6,1,0,"5'11""",205,"71""",Orthodox,7/07/1975,2.66,40%,1.78,65%,2.37,25%,25%,1.3,21,13,0,0,"6'0""",185,"74""",Orthodox,1/28/1981,2.93,50%,2.9,57%,1.45,34%,59%,0.8
4462,Shane Nelson,Aaron Riley,Shane Nelson,16,7,0,0,"5'9""",155,"70""",Southpaw,11/29/1984,1.38,31%,2.84,61%,1.31,18%,54%,1.6,30,14,1,0,"5'8""",155,"69""",Southpaw,12/09/1980,3.45,34%,3.78,61%,1.18,34%,60%,0.1
4463,Diego Sanchez,Joe Stevenson,Diego Sanchez,31,13,0,0,"5'10""",170,"72""",Southpaw,12/31/1981,2.69,37%,3.02,56%,1.51,24%,46%,0.8,33,16,0,0,"5'7""",145,"70""",Orthodox,6/15/1982,2.05,44%,2.44,60%,2.75,44%,39%,2.2
4464,Dan Hardy,Rory Markham,Dan Hardy,25,10,0,1,"6'0""",170,"74""",Orthodox,5/17/1982,2.46,35%,3.44,51%,0.73,35%,35%,0.4,17,6,0,0,"6'0""",170,"71""",Orthodox,3/25/1982,1.98,21%,10.27,45%,0.0,0%,0%,0.0
4465,Nate Marquardt,Wilson Gouveia,Nate Marquardt,35,19,2,0,"6'0""",185,"74""",Orthodox,4/20/1979,2.71,49%,2.32,55%,1.87,51%,70%,0.8,14,8,0,0,"6'1""",185,"76""",Orthodox,10/03/1978,3.02,39%,4.06,56%,0.9,66%,57%,2.2
4466,Demian Maia,Chael Sonnen,Demian Maia,28,10,0,0,"6'1""",170,"72""",Southpaw,11/06/1977,1.82,43%,2.03,63%,2.55,26%,61%,1.0,29,15,1,0,"6'1""",205,"73""",Southpaw,4/03/1977,3.08,43%,1.1,62%,3.81,59%,66%,0.4
4467,Paulo Thiago,Josh Koscheck,Paulo Thiago,18,9,0,0,"5'11""",170,"74""",Orthodox,1/25/1981,1.71,39%,1.99,63%,1.42,31%,63%,1.2,17,11,0,0,"5'10""",170,"73""",Orthodox,11/30/1977,1.79,36%,2.27,63%,2.46,48%,64%,0.4
4468,Junior Dos Santos,Stefan Struve,Junior Dos Santos,21,9,0,0,"6'4""",238,"77""",Orthodox,1/30/1984,4.49,47%,3.33,56%,0.3,50%,81%,0.1,33,13,0,0,"6'11""",265,"84""",Orthodox,2/18/1988,3.12,47%,4.04,46%,0.56,46%,55%,1.7
4469,Evan Dunham,Per Eklund,Evan Dunham,18,9,1,0,"5'10""",155,"70""",Southpaw,12/18/1981,5.33,39%,3.54,61%,1.82,33%,79%,1.0,14,5,1,0,"5'10""",155,"72""",Orthodox,"--,",2.07,61%,2.38,67%,2.07,11%,50%,3.6
4470,Joe Lauzon,Jeremy Stephens,Joe Lauzon,28,16,0,0,"5'10""",155,"71""",Orthodox,5/22/1984,2.84,39%,5.39,54%,2.39,45%,54%,2.0,28,18,0,1,"5'9""",145,"71""",Orthodox,5/25/1986,3.18,40%,3.06,58%,1.16,38%,65%,0.4
4471,Josh Neer,Mac Danzig,Josh Neer,36,16,1,0,"5'11""",170,"72""",Orthodox,3/24/1983,3.29,46%,3.63,58%,1.09,34%,46%,1.3,21,12,1,0,"5'8""",155,"70""",Orthodox,1/02/1980,3.39,48%,3.44,57%,1.2,37%,46%,0.6
4472,Anthony Johnson,Luigi Fioravanti,Anthony Johnson,22,6,0,0,"6'2""",205,"78""",Orthodox,3/06/1984,3.25,47%,1.83,60%,2.43,57%,77%,0.6,26,15,0,0,"5'8""",170,"70""",Orthodox,1/22/1981,2.23,42%,2.21,69%,3.76,63%,67%,0.9
4473,Kurt Pellegrino,Rob Emerson,Kurt Pellegrino,16,7,0,0,"5'8""",155,"70""",Orthodox,5/07/1979,2.45,43%,1.94,63%,2.9,54%,69%,0.8,18,12,0,1,"5'9""",155,"70""",Orthodox,7/30/1981,2.5,30%,2.83,64%,2.02,52%,65%,0.4
4474,Gleison Tibau,Rich Clementi,Gleison Tibau,33,14,0,0,"5'10""",155,"71""",Southpaw,10/07/1983,1.95,31%,2.51,63%,4.08,53%,92%,0.8,45,23,1,0,"5'9""",155,"72""",Southpaw,3/31/1976,1.43,37%,2.29,60%,1.72,42%,25%,1.1
4475,Georges St-Pierre,BJ Penn,Georges St-Pierre,26,2,0,0,"5'11""",185,"76""",Orthodox,5/19/1981,3.78,53%,1.4,72%,4.16,74%,83%,1.1,16,14,2,0,"5'9""",155,"70""",Orthodox,12/13/1978,2.76,48%,3.2,56%,1.19,55%,74%,0.5
4476,Lyoto Machida,Thiago Silva,Lyoto Machida,24,8,0,0,"6'1""",185,"74""",Southpaw,5/30/1978,2.59,53%,1.57,61%,1.21,65%,75%,0.4,19,6,0,2,"6'2""",205,"74""",Orthodox,11/12/1982,3.92,50%,2.55,67%,1.03,47%,70%,0.7
4477,Jon Jones,Stephan Bonnar,Jon Jones,26,1,0,1,"6'4""",205,"84""",Orthodox,7/19/1987,4.3,57%,2.22,64%,1.85,44%,95%,0.4,15,9,0,0,"6'4""",205,"79""",Orthodox,4/04/1977,2.76,38%,3.01,52%,1.32,40%,60%,1.0
4478,Karo Parisyan,Dong Hyun Kim,,24,11,0,1,"5'10""",170,"72""",Orthodox,8/28/1982,2.49,41%,2.19,58%,5.27,59%,59%,1.0,22,4,1,1,"6'2""",170,"76""",Southpaw,11/17/1981,2.12,49%,1.89,58%,2.93,43%,71%,0.6
4479,Clay Guida,Nate Diaz,Clay Guida,36,17,0,0,"5'7""",155,"70""",Orthodox,12/08/1981,2.44,34%,2.57,63%,3.36,38%,68%,0.7,21,12,0,0,"6'0""",170,"76""",Southpaw,4/16/1985,4.62,45%,3.78,53%,1.19,30%,42%,1.4
4480,Jon Fitch,Akihiro Gono,Jon Fitch,30,7,1,1,"6'0""",170,"74""",Orthodox,2/24/1978,2.61,50%,1.65,54%,3.6,51%,56%,0.8,35,21,8,0,"5'7""",170,"68""",Switch,10/07/1974,2.18,48%,2.67,63%,1.01,84%,46%,0.5
4481,Thiago Tavares,Manvel Gamburyan,Thiago Tavares,21,7,1,0,"5'7""",145,"70""",Orthodox,11/08/1984,2.0,40%,2.31,62%,3.83,42%,62%,1.5,15,10,0,1,"5'5""",135,"67""",Orthodox,5/08/1981,2.13,41%,2.83,55%,3.26,34%,69%,0.7
4482,John Howard,Chris Wilson,John Howard,24,13,0,0,"5'7""",170,"72""",Orthodox,3/01/1983,2.15,50%,3.08,51%,2.7,49%,53%,0.4,18,10,0,1,"6'1""",170,"75""",Orthodox,6/07/1977,2.32,50%,1.36,55%,1.31,50%,60%,1.6
4483,Jake O'Brien,Christian Wellisch,Jake O'Brien,15,4,0,0,"6'3""",205,"76""",Orthodox,9/25/1984,1.31,31%,1.92,69%,6.39,54%,25%,0.2,8,5,0,0,"6'2""",234,"77""",Orthodox,9/13/1975,3.12,27%,3.04,56%,1.22,42%,45%,1.2
4484,Dan Henderson,Rich Franklin,Dan Henderson,32,15,0,0,"5'11""",185,"74""",Orthodox,8/24/1970,2.44,47%,2.7,51%,1.52,52%,57%,0.3,29,7,0,1,"6'1""",185,"76""",Southpaw,10/05/1974,4.1,44%,2.07,62%,1.31,66%,63%,0.7
4485,Mauricio Rua,Mark Coleman,Mauricio Rua,27,12,1,0,"6'1""",205,"76""",Orthodox,11/25/1981,3.57,50%,2.71,54%,2.12,48%,47%,0.8,16,10,0,0,"6'1""",205,"75""",Orthodox,12/20/1964,1.88,52%,2.62,40%,3.89,40%,50%,0.8
4486,Rousimar Palhares,Jeremy Horn,Rousimar Palhares,19,8,0,0,"5'8""",170,"71""",Orthodox,2/26/1980,1.75,51%,2.04,59%,3.93,45%,0%,4.1,91,22,5,1,"6'1""",185,"74""",Orthodox,8/25/1975,1.19,39%,1.99,55%,1.83,38%,29%,1.1
4487,Alan Belcher,Denis Kang,Alan Belcher,18,8,0,0,"6'2""",185,"75""",Orthodox,4/24/1984,2.7,41%,3.1,59%,0.44,26%,55%,0.9,35,16,2,2,"5'11""",185,"77""",Orthodox,9/17/1977,2.27,35%,1.65,67%,2.51,65%,38%,1.2
4488,Marcus Davis,Chris Lytle,Marcus Davis,22,11,0,1,"5'10""",170,"70""",Southpaw,8/24/1973,2.72,39%,2.79,65%,1.6,48%,47%,1.4,31,18,5,0,"5'11""",170,"68""",Orthodox,8/18/1974,3.76,45%,3.03,58%,0.7,55%,55%,2.4
4489,Eric Schafer,Antonio Mendes,Eric Schafer,14,8,2,0,"6'3""",185,"76""",Orthodox,9/20/1977,1.89,34%,3.38,56%,1.81,36%,50%,1.8,18,13,0,0,"6'3""",205,"77""",Southpaw,4/19/1981,1.34,47%,6.85,22%,2.51,50%,100%,0.0
4490,Dennis Siver,Nate Mohr,Dennis Siver,23,11,0,1,"5'6""",145,"70""",Orthodox,1/13/1979,3.87,32%,2.67,65%,0.87,32%,65%,0.3,9,7,0,0,"5'9""",155,"72""",Orthodox,3/03/1983,3.79,41%,2.5,74%,0.45,50%,71%,0.0
4491,Rashad Evans,Forrest Griffin,Rashad Evans,19,8,1,0,"6'0""",205,"75""",Orthodox,9/25/1979,2.14,37%,2.42,63%,2.98,44%,73%,0.0,19,7,0,0,"6'3""",205,"77""",Orthodox,3/16/1979,4.38,36%,2.81,61%,1.05,48%,57%,0.7
4492,Frank Mir,Antonio Rodrigo Nogueira,Frank Mir,18,11,0,0,"6'3""",264,"79""",Southpaw,5/24/1979,2.18,47%,3.84,38%,2.02,40%,54%,2.0,34,10,1,1,"6'3""",240,"77""",Orthodox,6/02/1976,1.95,42%,2.4,55%,1.3,29%,36%,2.4
4493,CB Dollaway,Mike Massenzio,CB Dollaway,17,9,0,0,"6'2""",185,"76""",Orthodox,8/10/1983,2.65,47%,2.58,54%,3.55,54%,62%,1.2,13,9,0,0,"6'2""",185,"73""",Southpaw,11/01/1982,2.08,45%,3.59,54%,2.74,24%,50%,1.4
4494,Quinton Jackson,Wanderlei Silva,Quinton Jackson,37,12,0,0,"6'1""",205,"73""",Orthodox,6/20/1978,3.25,54%,2.51,55%,1.52,56%,73%,0.1,35,13,1,1,"5'11""",205,"74""",Orthodox,7/03/1976,2.79,40%,2.19,60%,0.97,53%,62%,0.6
4495,Cheick Kongo,Mostapha Al-Turk,Cheick Kongo,27,10,2,0,"6'4""",240,"82""",Orthodox,5/17/1975,3.33,56%,1.28,54%,2.3,56%,52%,0.2,6,6,0,0,"6'2""",245,"77""",Orthodox,7/14/1973,1.36,19%,3.61,53%,0.0,0%,0%,0.0
4496,Yushin Okami,Dean Lister,Yushin Okami,34,12,0,0,"6'2""",170,"75""",Southpaw,7/21/1981,2.06,38%,2.25,60%,1.98,39%,84%,0.5,13,7,0,0,"6'1""",185,"75""",Orthodox,2/13/1976,1.26,35%,1.89,61%,1.58,15%,50%,1.1
4497,Brad Blackburn,Ryo Chonan,Brad Blackburn,18,13,1,1,"5'10""",170,"73""",Orthodox,5/25/1977,4.55,35%,3.59,65%,0.93,50%,76%,0.7,22,13,0,0,"5'9""",170,"70""",Orthodox,10/08/1976,2.57,43%,2.25,60%,0.61,41%,39%,0.3
4498,Efrain Escudero,Phillipe Nover,Efrain Escudero,28,12,0,0,"5'9""",155,"71""",Orthodox,1/15/1986,2.92,44%,2.3,63%,1.31,40%,66%,0.8,11,8,1,0,"5'9""",145,"72""",Orthodox,2/03/1984,1.79,35%,2.48,56%,0.99,28%,44%,0.7
