,fight_id,fight_date,event_name,location
166,a02764f92a84dd36,11/21/2020,UFC 255: Figueiredo vs. Perez,"Las Vegas, Nevada, USA"
167,90eb22b9eb6ed2a8,11/21/2020,UFC 255: Figueiredo vs. Perez,"Las Vegas, Nevada, USA"
168,91afc389191d41fb,11/21/2020,UFC 255: Figueiredo vs. Perez,"Las Vegas, Nevada, USA"
169,80cb3cf9134b677c,11/14/2020,UFC Fight Night: Felder vs. Dos Anjos,"Las Vegas, Nevada, USA"
170,30eb24f7904c2128,11/14/2020,UFC Fight Night: Felder vs. Dos Anjos,"Las Vegas, Nevada, USA"
171,34db1e0e2499e7ae,11/14/2020,UFC Fight Night: Felder vs. Dos Anjos,"Las Vegas, Nevada, USA"
172,fa6e8fa6c3f05e31,11/14/2020,UFC Fight Night: Felder vs. Dos Anjos,"Las Vegas, Nevada, USA"
173,742dc4196d329db0,11/14/2020,UFC Fight Night: Felder vs. Dos Anjos,"Las Vegas, Nevada, USA"
174,470391c4067bf49b,11/14/2020,UFC Fight Night: Felder vs. Dos Anjos,"Las Vegas, Nevada, USA"
175,9e4dcac049327529,11/14/2020,UFC Fight Night: Felder vs. Dos Anjos,"Las Vegas, Nevada, USA"
176,d80fd2ec736f7df2,11/14/2020,UFC Fight Night: Felder vs. Dos Anjos,"Las Vegas, Nevada, USA"
177,f6472ca263a863d1,11/14/2020,UFC Fight Night: Felder vs. Dos Anjos,"Las Vegas, Nevada, USA"
178,923e151bd990961b,11/07/2020,UFC Fight Night: Santos vs. Teixeira,"Las Vegas, Nevada, USA"
179,f0cf92b063735164,11/07/2020,UFC Fight Night: Santos vs. Teixeira,"Las Vegas, Nevada, USA"
180,6ac3d588f9630f0a,11/07/2020,UFC Fight Night: Santos vs. Teixeira,"Las Vegas, Nevada, USA"
181,0fed97329b78b887,11/07/2020,UFC Fight Night: Santos vs. Teixeira,"Las Vegas, Nevada, USA"
182,b76590c02f86e705,11/07/2020,UFC Fight Night: Santos vs. Teixeira,"Las Vegas, Nevada, USA"
183,fea7dd5904ab4c91,11/07/2020,UFC Fight Night: Santos vs. Teixeira,"Las Vegas, Nevada, USA"
184,2267d967d1daf08a,11/07/2020,UFC Fight Night: Santos vs. Teixeira,"Las Vegas, Nevada, USA"
185,69fa167ba5d0fd82,11/07/2020,UFC Fight Night: Santos vs. Teixeira,"Las Vegas, Nevada, USA"
186,55019da3a4bd5d54,11/07/2020,UFC Fight Night: Santos vs. Teixeira,"Las Vegas, Nevada, USA"
187,cb720b01fd6f9785,11/07/2020,UFC Fight Night: Santos vs. Teixeira,"Las Vegas, Nevada, USA"
188,039c645e8f3ac00f,10/31/2020,UFC Fight Night: Hall vs. Silva,"Las Vegas, Nevada, USA"
189,83955de599b2d874,10/31/2020,UFC Fight Night: Hall vs. Silva,"Las Vegas, Nevada, USA"
190,d763ad79532b27ff,10/31/2020,UFC Fight Night: Hall vs. Silva,"Las Vegas, Nevada, USA"
191,997dcf5fd2eb0f2f,10/31/2020,UFC Fight Night: Hall vs. Silva,"Las Vegas, Nevada, USA"
192,6915d46b49999f60,10/31/2020,UFC Fight Night: Hall vs. Silva,"Las Vegas, Nevada, USA"
193,95beb5ec32718faf,10/31/2020,UFC Fight Night: Hall vs. Silva,"Las Vegas, Nevada, USA"
194,4e566bd7094b49da,10/31/2020,UFC Fight Night: Hall vs. Silva,"Las Vegas, Nevada, USA"
195,09f5fb0bec3c948a,10/31/2020,UFC Fight Night: Hall vs. Silva,"Las Vegas, Nevada, USA"
196,696ff200d98fa878,10/31/2020,UFC Fight Night: Hall vs. Silva,"Las Vegas, Nevada, USA"
197,783761d95060ffc4,10/31/2020,UFC Fight Night: Hall vs. Silva,"Las Vegas, Nevada, USA"
198,7e6f12a95c14f9de,10/31/2020,UFC Fight Night: Hall vs. Silva,"Las Vegas, Nevada, USA"
199,59eea37af7efb06c,10/24/2020,UFC 254: Khabib vs. Gaethje,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
200,51108eabae8391ca,10/24/2020,UFC 254: Khabib vs. Gaethje,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
201,ccfe7b0d29c5440c,10/24/2020,UFC 254: Khabib vs. Gaethje,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
202,a2620cbef573a837,10/24/2020,UFC 254: Khabib vs. Gaethje,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
203,e8ef17c0babcfca5,10/24/2020,UFC 254: Khabib vs. Gaethje,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
204,eedcb6c5d163e581,10/24/2020,UFC 254: Khabib vs. Gaethje,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
205,6eaa4981d0335c8a,10/24/2020,UFC 254: Khabib vs. Gaethje,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
206,de2069fea664c4b7,10/24/2020,UFC 254: Khabib vs. Gaethje,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
207,5b062be91c65fb73,10/24/2020,UFC 254: Khabib vs. Gaethje,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
208,55c257629ecea80f,10/24/2020,UFC 254: Khabib vs. Gaethje,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
209,47f9c14a7dca1ad7,10/24/2020,UFC 254: Khabib vs. Gaethje,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
210,2279d909f6e3e552,10/24/2020,UFC 254: Khabib vs. Gaethje,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
211,5a440bdee19efaab,10/17/2020,UFC Fight Night: Ortega vs. The Korean Zombie,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
212,e7a915f39ecf6db0,10/17/2020,UFC Fight Night: Ortega vs. The Korean Zombie,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
213,948da1b7ebbb06b3,10/17/2020,UFC Fight Night: Ortega vs. The Korean Zombie,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
214,4eb5f99202f5fe97,10/17/2020,UFC Fight Night: Ortega vs. The Korean Zombie,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
215,e4d0be5ae320c4ae,10/17/2020,UFC Fight Night: Ortega vs. The Korean Zombie,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
216,e5279358b128c2ac,10/17/2020,UFC Fight Night: Ortega vs. The Korean Zombie,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
217,9b6135943a4c8fe7,10/17/2020,UFC Fight Night: Ortega vs. The Korean Zombie,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
218,50e0bcba7551a25f,10/17/2020,UFC Fight Night: Ortega vs. The Korean Zombie,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
219,2735a2ea77ddc0b5,10/17/2020,UFC Fight Night: Ortega vs. The Korean Zombie,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
