,Unnamed: 0,fighter_name,id
10529,10530,Brian Geraghty,15edcf67ccf5be84
6929,6930,Brian Houston,36fbaa49a09ff997
11841,11842,Brian Johnston,1c3f5e85b59ec710
105,106,Brian Kelleher,7be14eaed4c74856
7373,7374,Brian Melancon,eee7dafac7d672b5
400,401,Brian Ortega,def8166ff24bd237
9236,9237,Brian Stann,579fcdfcabd23a7b
1637,1638,Brianna Van Buren,b53c46f613f6f248
7534,7535,Bristol Marunde,a17322f99ddfd8e9
7633,7634,Brock Jardine,64959f90b6dd9759
9665,9666,Brock Larson,5eedbf1e9601be35
10006,10007,Brock Lesnar,513c6f1715e547a8
9997,9998,Brodie Farber,91d73ee59347ac16
1034,1035,Brok Weaver,7c9f96f9a6a5cd50
5196,5197,Bruno Rodrigues,6c011be66326ad97
7018,7019,Bruno Santos,da1d8d76404bb6b5
1371,1372,Bruno Silva,294aa73dbf37d281
3780,3781,Bryan Barberena,a331233f597090a5
6155,6156,Bryan Caraway,5ef0088c1b19beeb
2675,2676,Bryce Mitchell,d9c6f19f958643e9
5216,5217,Bubba Bush,132505067f08c54d
7955,7956,Buddy Roberts,b2a2da86546ddb19
7741,7742,Byron Bloodworth,ecdf14f4f8643d39
6741,6742,CB Dollaway,5d7bdab5e03e3216
11555,11556,CJ Fernandes,979f7edbb6980b0d
7727,7728,CJ Keith,c0eecd851dbf3146
2714,2715,CM Punk,a8c9d16fe2a14d72
6299,6300,Cain Carrizosa,064b7dc68d786254
9434,9435,Cain Velasquez,0ff11cc094e887bc
7418,7419,Caio Magalhaes,0c5c66ddd1886b83
11882,11883,Cal Worsham,de3ed2e152520c8d
10137,10138,Cale Yarbrough,a0b91014e9d16a76
1020,1021,Callan Potter,8fc9ae9c7527dfcb
712,713,Calvin Kattar,751de04455cfaac0
9753,9754,Cameron Dollar,3bbcd63a016d9715
455,456,Cameron Else,5f3da9a9610d8969
11439,11440,Caol Uno,eb1723480fa2f96c
5772,5773,Carla Esparza,d910665038efc639
2045,2046,Carlo Pedersoli Jr.,198994b47f395af0
8397,8398,Carlo Prater,4f853e98886283cf
11757,11758,Carlos Barreto,a220be6d41d6f97d
9652,9653,Carlos Condit,f9f07bb5a43535ed
9095,9096,Carlos Eduardo Rocha,4f736494fc733095
451,452,Carlos Felipe,a2ea77e974c5889f
1807,1808,Carlos Huachin,225def29ecfe0fc1
11712,11713,Carlos Newton,952f6fa06f25a0ec
47,48,Carlos Ulberg,9014c02eff8b3d62
3162,3163,Carls John De Tomas,2a4200ead401a9ce
592,593,Carlton Minus,40d8b74488743800
10581,10582,Carmelo Marrero,aa03a3ca00ac6827
7631,7632,Caros Fodor,01d2ed8c502e3828
1048,1049,Casey Kenney,e7bba7ce4d6c7b07
93,94,Casey O'Neill,04835018f90b118c
2618,2619,Cat Zingano,3ecd936bd8814108
6398,6399,Cathal Pendred,99c7610aa74995d3
4486,4487,Cesar Arzamendia,49f78022126bf4a4
11700,11701,Cesar Marscucci,e8efeb9cf33b1941
5820,5821,Cezar Ferreira,dbc17725b887860a
8229,8230,Chad Griggs,fdf18227faa596dd
4414,4415,Chad Laprise,c03a5022f8439f2a
2617,2618,Chad Mendes,b5b684eac99ae0a3
10683,10684,Chad Reiner,d8022d5526b1d937
9614,9615,Chael Sonnen,48d1f690b763934c
1689,1690,Chan Sung Jung,c451d67c09c55418
3401,3402,Chan-Mi Jeon,24174a3f44ce8e03
1271,1272,Chance Rencountre,1ddb480b601cefb1
2907,2908,Charles Byrd,76ee3d666c648f6b
1775,1776,Charles Jourdain,f1d64ae34e088832
11111,11112,Charles McCarthy,da97d6c97d09c030
4239,4240,Charles Oliveira,07225ba28ae309b6
6189,6190,Charles Rosa,40093d1d2d78394e
6667,6668,Charlie Brenneman,98f6da59d765ec94
361,362,Charlie Ontiveros,318572f6f74b760d
8843,8844,Charlie Valencia,8a0be41c0380188d
3562,3563,Charlie Ward,e81dd0bb8a64b550
5852,5853,Chas Skelly,4bd6b4800070b069
9621,9622,Chase Gormley,052ceb8976695342
835,836,Chase Hooper,971246648e162f0d
3748,3749,Chase Sherman,01b352b6a9074d5c
7648,7649,Che Mills,6cadfd8f1d9e7685
7477,7478,Cheick Kongo,1eacf73d6a0055dc
6902,6903,Chico Camus,32be4b7f7de1c905
4433,4434,Chris Avila,4665cbf36b08193b
5903,5904,Chris Beal,55f446032177b119
11732,11733,Chris Brennan,b19fc66613dc75b9
7106,7107,Chris Camozzi,6c2030e0a143a94b
8307,8308,Chris Cariaso,b2e3aca4cd363477
8237,8238,Chris Clements,e5ecaf884b6da2bc
11657,11658,Chris Condo,41e77dc504a192c6
8534,8535,Chris Cope,8c8c92a12621d7e0
614,615,Chris Daukaus,d0aaedcf7ccd0b45
5701,5702,Chris Dempsey,dfae5da5676e4194
1741,1742,Chris Fishgold,bebb4ae55ac2bf6f
3961,3962,Chris Gruetzemacher,feaf00f3373435d6
115,116,Chris Gutierrez,45f0cc9d18f35137
11371,11372,Chris Haseman,5bd533d50c8e7b8a
6073,6074,Chris Heatherly,bad8be5827ea1bf1
7026,7027,Chris Holdsworth,fc60ecf0671b9489
6504,6505,Chris Indich,d5b7fac960e58920
4743,4744,Chris Kelades,56c9acc4e86046a2
8719,8720,Chris Leben,d43a048a880efdff
11257,11258,Chris Liguori,0e31bfd26cc8c503
10397,10398,Chris Lytle,91acd6910b802a9e
10779,10780,Chris Price,0597a4528ebd1307
11141,11142,Chris Sanford,29f935654825331b
8137,8138,Chris Saunders,b35a159f525764eb
