,fight_id,fighter_r,fighter_b,winner,title_fight,weight_class,win_by,last_round,stoppage_time,fight_format,referee,r_kd,r_sig_str,r_sig_str_pct,r_total_str,r_td,r_td_pct,r_sub_att,r_rev,r_ctrl,r_head,r_body,r_leg,r_distance,r_clinch,r_ground,b_kd,b_sig_str,b_sig_str_pct,b_total_str,b_td,b_td_pct,b_sub_att,b_rev,b_ctrl,b_head,b_body,b_leg,b_distance,b_clinch,b_ground
730,bef4df43d6052a02,Zubaira Tukhugov,Lerone Murphy,N/A,False,Featherweight, Decision - Split ,3,5:00,3 Rnd (5-5-5),Herb Dean,1,22 of 58,37%,28 of 68,6 of 8,75%,0,1,0:15,20 of 53,2 of 5,0 of 0,10 of 37,7 of 11,5 of 10,0,28 of 78,35%,65 of 116,0 of 0,---,2,1,9:29,12 of 55,13 of 20,3 of 3,23 of 73,2 of 2,3 of 3
731,8e1ae2ae6694b131,Liana Jojua,Sarah Moras,Sarah Moras,False,Women's Bantamweight, KO/TKO ,3,2:26,3 Rnd (5-5-5),Marc Goddard,0,19 of 45,42%,45 of 77,2 of 3,66%,0,0,2:20,12 of 38,6 of 6,1 of 1,16 of 41,1 of 1,2 of 3,0,44 of 88,50%,130 of 191,0 of 0,---,1,1,6:35,35 of 78,6 of 7,3 of 3,16 of 51,1 of 2,27 of 35
732,2c7b788effdc1b4c,Ottman Azaitar,Teemu Packalen,Ottman Azaitar,False,Lightweight, KO/TKO ,1,3:33,3 Rnd (5-5-5),Peter Hickmott,1,27 of 53,50%,27 of 53,0 of 0,---,0,0,0:11,22 of 44,2 of 6,3 of 3,18 of 40,8 of 11,1 of 2,0,8 of 19,42%,8 of 19,0 of 1,0%,0,0,0:00,3 of 12,5 of 6,0 of 1,3 of 13,5 of 6,0 of 0
733,18aff757c54687f1,Belal Muhammad,Takashi Sato,Belal Muhammad,False,Welterweight, Submission ,3,1:55,3 Rnd (5-5-5),Vjacheslav Kiselev,0,49 of 106,46%,78 of 148,2 of 9,22%,1,0,2:31,40 of 85,7 of 19,2 of 2,42 of 98,3 of 4,4 of 4,0,29 of 89,32%,34 of 95,1 of 2,50%,0,0,0:38,23 of 79,4 of 8,2 of 2,29 of 89,0 of 0,0 of 0
734,43496ff308e681a0,Nordine Taleb,Muslim Salikhov,Muslim Salikhov,False,Welterweight, KO/TKO ,1,4:26,3 Rnd (5-5-5),Herb Dean,0,6 of 26,23%,6 of 26,0 of 0,---,0,0,0:00,3 of 16,0 of 5,3 of 5,6 of 25,0 of 0,0 of 1,1,10 of 23,43%,10 of 23,0 of 0,---,0,0,0:02,1 of 10,2 of 6,7 of 7,10 of 23,0 of 0,0 of 0
735,9a46f95c1c1e57f0,Omari Akhmedov,Zak Cummings,Omari Akhmedov,False,Middleweight, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),,0,26 of 77,33%,47 of 106,2 of 3,66%,0,0,3:39,14 of 60,5 of 10,7 of 7,21 of 67,0 of 2,5 of 8,0,17 of 69,24%,24 of 76,0 of 0,---,0,0,0:00,6 of 51,2 of 7,9 of 11,17 of 69,0 of 0,0 of 0
736,84d4b658851b7e0e,Don Madge,Fares Ziam,Don Madge,False,Lightweight, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Peter Hickmott,0,21 of 49,42%,72 of 111,3 of 12,25%,0,0,9:37,11 of 36,6 of 7,4 of 6,8 of 27,3 of 8,10 of 14,0,10 of 31,32%,70 of 96,0 of 4,0%,0,0,2:26,6 of 26,1 of 2,3 of 3,8 of 25,2 of 4,0 of 2
737,357cf8a9b6737625,Jessica Andrade,Zhang Weili,Zhang Weili,True,UFC Women's Strawweight Title, KO/TKO ,1,0:42,5 Rnd (5-5-5-5-5),Leon Roberts,0,4 of 12,33%,4 of 12,0 of 0,---,0,0,0:05,2 of 9,1 of 2,1 of 1,3 of 11,1 of 1,0 of 0,1,29 of 38,76%,29 of 38,0 of 0,---,0,0,0:01,16 of 25,7 of 7,6 of 6,15 of 23,13 of 13,1 of 2
738,55480808b1fa1f9c,Li Jingliang,Elizeu Zaleski dos Santos,Li Jingliang,False,Welterweight, KO/TKO ,3,4:51,3 Rnd (5-5-5),John Sharp,3,59 of 128,46%,59 of 128,2 of 3,66%,0,0,0:22,45 of 108,4 of 6,10 of 14,47 of 113,8 of 11,4 of 4,0,54 of 160,33%,55 of 162,0 of 1,0%,0,0,0:24,23 of 114,21 of 33,10 of 13,51 of 156,3 of 4,0 of 0
739,b07188063c49b755,Kai Kara-France,Mark De La Rosa,Kai Kara-France,False,Flyweight, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Steve Perceval,1,91 of 193,47%,93 of 195,1 of 1,100%,0,0,0:20,58 of 146,9 of 19,24 of 28,85 of 183,2 of 3,4 of 7,0,60 of 195,30%,63 of 198,1 of 7,14%,0,0,1:12,51 of 174,4 of 10,5 of 11,58 of 192,2 of 3,0 of 0
740,676561d9690ce31d,Song Kenan,Derrick Krantz,Song Kenan,False,Welterweight, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),John Sharp,0,58 of 128,45%,61 of 131,0 of 0,---,0,1,0:36,44 of 98,6 of 19,8 of 11,54 of 122,4 of 6,0 of 0,0,33 of 85,38%,52 of 105,3 of 6,50%,1,1,5:38,23 of 74,6 of 7,4 of 4,30 of 78,1 of 4,2 of 3
741,5f900e4437e079b3,Wu Yanan,Inoue Mizuki,Inoue Mizuki,False,Women's Flyweight, Decision - Split ,3,5:00,3 Rnd (5-5-5),Thomas Fan,0,123 of 270,45%,136 of 283,0 of 4,0%,0,0,0:29,65 of 198,41 of 51,17 of 21,95 of 235,28 of 35,0 of 0,0,93 of 204,45%,102 of 214,0 of 4,0%,0,0,0:36,86 of 195,7 of 9,0 of 0,74 of 182,19 of 22,0 of 0
742,8182dbc752c71137,Junyong Park,Anthony Hernandez,Anthony Hernandez,False,Middleweight, Submission ,2,4:39,3 Rnd (5-5-5),Steve Perceval,0,81 of 148,54%,84 of 152,0 of 0,---,0,0,0:16,76 of 142,5 of 6,0 of 0,73 of 136,8 of 12,0 of 0,0,59 of 110,53%,74 of 129,6 of 9,66%,1,0,4:32,51 of 102,7 of 7,1 of 1,49 of 97,3 of 6,7 of 7
