,fighter_name,id
420,Maxim Grishin,950d0ef5c17157c5
421,Said Nurmagomedov,0fd5f4b838e890cc
422,Mark Striegl,ef1182eb28c17d4e
423,Marlon Moraes,fea79f9bc8c68769
424,Cory Sandhagen,65f09bacd3957381
425,Edson Barboza,64a50dad704d1d49
426,Makwan Amirkhani,87a1dc546b1c5caf
427,Ben Rothwell,bd58d34e39b7b12a
428,Marcin Tybura,c9cf753cfdf77fc2
429,Markus Perez,2ac4628c08ec5125
430,Dricus Du Plessis,0d7b51c9d2649a6e
431,Tom Aspinall,399afbabc02376b5
432,Alan Baudot,c9a94278df042f46
433,Youssef Zalal,52c2ae6d2f2d2613
434,Ilia Topuria,54f64b5e283b0ce7
435,Tom Breese,1588b787bda7b540
436,KB Bhullar,9cd047a828dd7515
437,Chris Daukaus,d0aaedcf7ccd0b45
438,Rodrigo Nascimento,d31a5546c0e9b213
439,Impa Kasanganay,257b0c8d6f199895
440,Joaquin Buckley,b9437600497350f3
441,Ali AlQaisi,e87a13e02c01331d
442,Tony Kelley,1a08b01fdabb6ae2
443,Giga Chikadze,9560ff14eb3129f7
444,Omar Morales,a0e6753c42698f13
445,Tracy Cortez,68d4a891e5cf2029
446,Stephanie Egger,5e6294b37bbef029
447,Bruno Silva,294aa73dbf37d281
448,Tagir Ulanbekov,f00ac08ab056af5d
449,Holly Holm,634e2fb70bde3fd5
450,Irene Aldana,578ef12674df1e6a
451,Yorgan De Castro,1eff7bc0f815b270
452,Carlos Felipe,a2ea77e974c5889f
453,Germaine de Randamie,1d239d571e342453
454,Julianna Pena,3253b16d38ae087d
455,Kyler Phillips,60425d07ef4b91a7
456,Cameron Else,5f3da9a9610d8969
457,Dequan Townsend,3f7dab21b6c971bc
458,Dusko Todorovic,866fd7b1a6c90e7f
459,Carlos Condit,f9f07bb5a43535ed
460,Court McGee,523fa774700d7d3f
461,Charles Jourdain,f1d64ae34e088832
462,Josh Culibao,6751eacd16bd59bc
463,Jordan Williams,e26bd53b751d61d9
464,Nassourdine Imavov,881bf86d4cba8578
465,Loma Lookboonmee,4e30e4250cb08b61
466,Jinh Yu Frey,d05cb1e8d1b885d8
