,event_id,event_name
235,06dc1a58663579d2,UFC Fight Night: Boetsch vs Henderson
236,aae0897825336b1a,UFC Fight Night: Condit vs Alves
237,4f7e290e71d60f87,UFC 187: Johnson vs Cormier
238,b1605ea39fba6af6,UFC Fight Night: Edgar vs Faber
239,8a1b4330c7957961,UFC Fight Night: Miocic vs Hunt
240,997b4f52f76a0b53,UFC 186: Johnson vs Horiguchi
241,bc7cf284c1c2f16e,UFC on FOX: Machida vs Rockhold
242,5de61b03868035ff,UFC Fight Night: Gonzaga vs Cro Cop 2
243,16d09e800ad7ec79,UFC Fight Night: Mendes vs Lamas
244,fa534853eb195270,UFC Fight Night: Maia vs LaFlare
245,f54200f1dfb9b5d4,UFC 185: Pettis vs Dos Anjos
246,ad4e9055bf8cd04d,UFC 184: Rousey vs Zingano
247,0577808d22dfe79c,UFC Fight Night: Bigfoot vs Mir
248,f9c7fe2682af3802,UFC Fight Night: Henderson vs Thatch
249,43563a32c3f10e95,UFC 183: Silva vs Diaz
250,706404da0775dcbc,UFC on FOX: Gustafsson vs Johnson
251,f9aa6376ae16bfb4,UFC Fight Night: McGregor vs Siver
252,a72d260b436924c4,UFC 182: Jones vs Cormier
253,4e5bbc4566049cbf,UFC Fight Night: Machida vs Dollaway
254,d4a12dfa4067742f,UFC on FOX: Dos Santos vs Miocic
255,222d6b547de2e035,The Ultimate Fighter: A Champion Will Be Crowned Finale
256,dfdd0c5dd0d4bc23,UFC 181: Hendricks vs Lawler II
257,155a02a8b4311057,UFC Fight Night: Edgar vs Swanson
258,59851163aaf1aed8,UFC 180: Werdum vs Hunt
259,6ca68b636fbc1f18,UFC Fight Night 56: Shogun vs Saint Preux
260,371a1c91b24dec2b,UFC Fight Night: Rockhold vs Bisping
261,53f02bbc41d99432,UFC 179: Aldo vs Mendes 2
262,0313bf497de9c470,UFC Fight Night: MacDonald vs Saffiedine
263,8dc4f34c1f50d00d,UFC Fight Night: Nelson vs Story
264,3bb030257966b022,UFC 178: Johnson vs Cariaso
265,2dea80c069847321,UFC Fight Night: Hunt vs Nelson
266,a71feb7ea7592a71,UFC Fight Night: Bigfoot vs Arlovski
267,9bcfb40dbcd50568,UFC Fight Night: Jacare vs Mousasi
268,269d103c96a4c3a5,UFC 177: Dillashaw vs Soto
269,063649e21bc9d6d5,UFC Fight Night: Henderson vs Dos Anjos
270,770b9d4813c25902,UFC Fight Night: Bisping vs Le
271,fd7acf42bd6e7e95,UFC Fight Night: Bader vs Saint Preux
272,05fbfe628658c538,UFC on FOX: Lawler vs Brown
273,073eee4e62f0d988,UFC Fight Night: McGregor vs Brandao
274,79ded75550efc139,UFC Fight Night: Cowboy vs Miller
275,1c5879330d42255f,The Ultimate Fighter: Team Edgar vs. Team Penn Finale
276,53adf5b845d91e4a,UFC 175: Weidman vs Machida
277,c0ed7b208197e8de,UFC Fight Night: Swanson vs Stephens
278,ac9521250dc1a14c,UFC Fight Night: Te Huna vs Marquardt
279,5b5307450405abf0,UFC 174: Johnson vs Bagautinov
280,1fcfc3709fe58151,UFC Fight Night: Henderson vs Khabilov
281,59aaf2730b84698a,UFC Fight Night: Miocic vs Maldonado
282,b757c73f443d4fca,UFC Fight Night: Munoz vs Mousasi
283,9ca265dfe8323db3,UFC 173: Barao vs Dillashaw
284,579fcdfcabd23a7b,UFC Fight Night: Brown vs Silva
285,4f2fcbefb668689d,UFC 172: Jones vs Teixeira
286,a421465acbe59c77,UFC on FOX: Werdum vs Browne
287,f9f07bb5a43535ed,UFC Fight Night: Bisping vs Kennedy
288,d632d156c0549e07,UFC Fight Night: Minotauro vs Nelson
289,d5f820c11a121050,UFC Fight Night: Shogun vs Henderson 2
290,179f1948dc234f1f,UFC 171: Hendricks vs Lawler
291,ebc1f40e00e0c481,UFC Fight Night: Gustafsson vs Manuwa
292,a26198ba5093147e,UFC Fight Night: Kim vs Hathaway
293,3138fab619faf4d1,UFC 170: Rousey vs McMann
294,51b0bb73a1da34bc,UFC Fight Night: Machida vs Mousasi
295,fc31f896cde2bc2e,UFC 169: Barao vs Faber 2
296,a8d521d913df4e31,UFC on FOX: Henderson vs Thomson
297,30a09e43f15f1d75,UFC Fight Night: Rockhold vs Philippou
298,e5c9de15bb58b1c6,UFC Fight Night: Saffiedine vs Lim
299,83d0de122f2f9664,UFC 168: Weidman vs Silva 2
300,480b702debcb5433,UFC on FOX: Johnson vs. Benavidez 2
301,ee457ef1e1c326c1,UFC Fight Night: Hunt vs Bigfoot
302,9a967e8e43dcef63,The Ultimate Fighter: Team Rousey vs. Team Tate Finale
303,28f3c2258a1d8874,UFC 167: St-Pierre vs Hendricks
304,5d7c18191b8aa432,UFC Fight Night: Belfort vs Henderson 2
305,35dc6220b113b7ec,UFC Fight Night: Fight for the Troops 3
306,60884f31ead1609c,UFC Fight Night: Machida vs Munoz
