,id,fighter_name,total_wins,total_losses,total_draws,total_nc,height,weight,reach,stance,dob,slpm,str_acc,sapm,str_def,td_avg,td_acc,td_def,td_acc,sub_avg
92,beecb672a279223e,Amanda Ribas,10,2,0,0,"5'3""",125,"66""",Orthodox,"Aug,26,1993",4.25,44%,1.78,71%,2.31,58%,85%,58%,1.6
93,7aa88401f93ce836,Amar Suloev,24,7,0,0,"5'9""",183,--,Orthodox,"Jul,01,1976",1.98,37%,2.19,70%,0.27,100%,88%,100%,0.3
94,7a359ef685a304a7,Amaury Bitetti,5,2,0,0,"5'9""",185,--,Orthodox,"--,",0.00,0%,0.00,0%,0.00,0%,0%,0%,0.0
95,dc5a6b2fdb27e7dc,Amilcar Alves,15,12,0,0,"6'0""",170,--,Southpaw,"Aug,08,1988",0.50,46%,2.02,30%,0.00,0%,53%,0%,0.0
96,6d35bf94f7d30241,Amir Albazi,14,1,0,0,"5'5""",125,"68""",Orthodox,"Oct,27,1993",4.06,40%,3.15,58%,2.28,75%,66%,75%,0.8
97,2650e2f846a30f64,Amir Sadollah,6,5,0,0,"5'10""",170,"75""",Orthodox,"Aug,27,1980",4.71,46%,3.55,60%,0.57,27%,60%,27%,0.3
98,bbc9ab95fa766493,Anderson Dos Santos,21,8,0,0,"5'5""",135,"70""",Orthodox,"Jul,24,1985",2.66,28%,4.80,55%,1.30,18%,66%,18%,0.9
99,1f454354805b6f75,Anderson Silva,34,11,0,1,"6'2""",185,"77""",Southpaw,"Apr,14,1975",3.05,61%,2.05,60%,0.50,77%,69%,77%,0.8
100,5f6f049d54728e88,Andre Ewell,17,7,0,0,"5'8""",135,"75""",Southpaw,"Jan,21,1988",4.42,41%,4.25,52%,0.29,66%,70%,66%,0.1
101,8fd808923cffff82,Andre Fili,21,8,0,0,"5'11""",145,"74""",Orthodox,"Jun,25,1990",3.73,36%,3.90,52%,2.50,49%,64%,49%,0.2
102,cc300e9aa3063431,Andre Gusmao,6,3,0,0,"6'0""",205,--,Orthodox,"May,19,1977",2.79,43%,3.28,60%,0.00,0%,60%,0%,0.0
103,886264a0c9f4ea5e,Andre Muniz,20,4,0,0,"6'1""",185,"78""",Southpaw,"Feb,17,1990",2.21,58%,1.80,45%,2.61,35%,37%,35%,2.2
104,bba678d312590087,Andre Pederneiras,1,1,2,0,"5'8""",155,--,Orthodox,"Mar,22,1967",0.00,0%,0.00,0%,0.00,0%,0%,0%,0.0
105,a54a35a670d8e852,Andre Roberts,14,2,1,0,"6'2""",345,--,Orthodox,"Feb,24,1965",0.00,0%,0.00,0%,0.00,0%,0%,0%,0.0
106,d0e50a3d1b250708,Andre Soukhamthath,13,8,0,0,"5'9""",135,"70""",Orthodox,"Oct,23,1988",2.77,44%,4.31,49%,1.25,53%,58%,53%,0.2
107,b45d6b73f4ca4467,Andre Winner,21,11,2,0,"5'11""",155,"73""",Orthodox,"Nov,09,1981",2.52,33%,4.57,51%,0.00,0%,74%,0%,0.0
108,05fa626cb33d15b8,Andrea Lee,11,5,0,0,"5'6""",125,"69""",Orthodox,"Feb,11,1989",5.58,49%,3.83,65%,1.67,45%,57%,45%,0.5
109,79325a3c1a5c3bf4,Andreas Michailidis,12,4,0,0,"6'0""",185,"76""",Orthodox,"Jul,18,1988",4.60,50%,3.60,63%,0.00,0%,0%,0%,0.0
110,69a400af4420cd6a,Andreas Stahl,10,4,0,0,"5'11""",170,--,Orthodox,"May,20,1988",2.83,37%,4.74,57%,1.55,66%,80%,66%,0.0
